Energy
-15.260228236285268
-15.444529595628687
-15.521270689214836
-15.56099160090475
-15.579620050114775
-15.587300247236232
-15.59004364478908
-15.592304046923848
-15.593239274774955
-15.59390658552427
-15.594128342138614
-15.594362976791484
-15.594571309645692
-15.59466602981728
-15.594720871259051
-15.594745894323507
-15.594777316587825
-15.594785782271295
-15.594792818581444
-15.59479569282425
-15.594798377756105
-15.594798531553186
-15.59479956871191
-15.594799703693692
-15.594799931605325
-15.594800065990292
-15.594800130899849
-15.594800157208594
