t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.25,0,0.0,-1.6944972023695095,-1.680977134051285,-2.034319983542531,4.0,0.33982278117302145
0.25,1,0.010869565217391297,-1.7098342802383362,-1.680977134051285,-2.034319983542531,4.0,0.3244857033041948
0.25,2,0.021739130434782594,-1.7102007993130348,-1.680977134051285,-2.034319983542531,4.0,0.32411918422949615
0.25,3,0.03260869565217392,-1.710203896431951,-1.680977134051285,-2.034319983542531,4.0,0.32411608711057993
0.25,4,0.043478260869565216,-1.710207972543418,-1.680977134051285,-2.034319983542531,4.0,0.3241120109991129
0.25,5,0.05434782608695651,-1.7102083510053947,-1.680977134051285,-2.034319983542531,4.0,0.32411163253713626
0.25,6,0.06521739130434784,-1.7102084090750573,-1.680977134051285,-2.034319983542531,4.0,0.32411157446747363
0.25,7,0.07608695652173914,-1.7102084136358469,-1.680977134051285,-2.034319983542531,4.0,0.3241115699066841
0.25,8,0.08695652173913043,-1.7102084136797127,-1.680977134051285,-2.034319983542531,4.0,0.3241115698628183
0.25,9,0.09782608695652173,-1.7102084137036142,-1.680977134051285,-2.034319983542531,4.0,0.32411156983891676
0.25,10,0.10869565217391303,-1.7102084137090288,-1.680977134051285,-2.034319983542531,4.0,0.3241115698335022
0.25,11,0.11956521739130435,-1.7102084137123708,-1.680977134051285,-2.034319983542531,4.0,0.3241115698301602
0.25,12,0.13043478260869565,-1.7102084137176665,-1.680977134051285,-2.034319983542531,4.0,0.32411156982486444
0.25,13,0.14130434782608695,-1.7102084137244646,-1.680977134051285,-2.034319983542531,4.0,0.3241115698180663
0.25,14,0.15217391304347827,-1.7102084137260398,-1.680977134051285,-2.034319983542531,4.0,0.32411156981649114
0.25,15,0.16304347826086957,-1.710208413726277,-1.680977134051285,-2.034319983542531,4.0,0.324111569816254
0.25,16,0.17391304347826086,-1.710208413726296,-1.680977134051285,-2.034319983542531,4.0,0.3241115698162349
0.25,17,0.18478260869565216,-1.7102084137263143,-1.680977134051285,-2.034319983542531,4.0,0.3241115698162167
0.25,18,0.1956521739130435,-1.7102084137263158,-1.680977134051285,-2.034319983542531,4.0,0.32411156981621514
0.25,19,0.20652173913043478,-1.710208413726317,-1.680977134051285,-2.034319983542531,4.0,0.32411156981621403
0.5,0,0.25,-1.7829604054279187,-1.680977134051285,-2.034319983542531,4.0,0.2513595781146123
0.5,1,0.2608695652173913,-1.7921060087494625,-1.680977134051285,-2.034319983542531,4.0,0.2422139747930685
0.5,2,0.2717391304347826,-1.7932693211814206,-1.680977134051285,-2.034319983542531,4.0,0.2410506623611104
0.5,3,0.28260869565217395,-1.793271303213023,-1.680977134051285,-2.034319983542531,4.0,0.241048680329508
0.5,4,0.2934782608695652,-1.7932714742145437,-1.680977134051285,-2.034319983542531,4.0,0.24104850932798727
0.5,5,0.30434782608695654,-1.7932714859027783,-1.680977134051285,-2.034319983542531,4.0,0.24104849763975267
0.5,6,0.31521739130434784,-1.793271487081329,-1.680977134051285,-2.034319983542531,4.0,0.24104849646120186
0.5,7,0.32608695652173914,-1.7932714873507842,-1.680977134051285,-2.034319983542531,4.0,0.24104849619174673
0.5,8,0.33695652173913043,-1.7932714873589521,-1.680977134051285,-2.034319983542531,4.0,0.24104849618357882
0.5,9,0.34782608695652173,-1.7932714873655267,-1.680977134051285,-2.034319983542531,4.0,0.2410484961770043
0.5,10,0.358695652173913,-1.7932714873749904,-1.680977134051285,-2.034319983542531,4.0,0.24104849616754054
0.5,11,0.3695652173913043,-1.79327148739272,-1.680977134051285,-2.034319983542531,4.0,0.24104849614981094
0.5,12,0.3804347826086957,-1.79327148742488,-1.680977134051285,-2.034319983542531,4.0,0.2410484961176509
0.5,13,0.3913043478260869,-1.7932714874761788,-1.680977134051285,-2.034319983542531,4.0,0.24104849606635215
0.5,14,0.40217391304347827,-1.7932714875110545,-1.680977134051285,-2.034319983542531,4.0,0.2410484960314765
0.5,15,0.41304347826086957,-1.7932714875146334,-1.680977134051285,-2.034319983542531,4.0,0.24104849602789757
0.5,16,0.42391304347826086,-1.7932714875162499,-1.680977134051285,-2.034319983542531,4.0,0.2410484960262811
0.5,17,0.43478260869565216,-1.7932714875163196,-1.680977134051285,-2.034319983542531,4.0,0.24104849602621137
0.5,18,0.44565217391304346,-1.7932714875163223,-1.680977134051285,-2.034319983542531,4.0,0.2410484960262087
