t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.5,0,0.0,-1.8450212642780013,-1.8329004998465952,-2.039639009327411,2.0,0.19461774504940976
0.5,1,0.020000000000000018,-1.8635934407345742,-1.8329004998465952,-2.039639009327411,2.0,0.17604556859283682
0.5,2,0.03999999999999998,-1.8713335036839263,-1.8329004998465952,-2.039639009327411,2.0,0.1683055056434848
0.5,3,0.06,-1.8717917991888229,-1.8329004998465952,-2.039639009327411,2.0,0.16784721013858817
0.5,4,0.08000000000000002,-1.8723864981236946,-1.8329004998465952,-2.039639009327411,2.0,0.16725251120371643
0.5,5,0.09999999999999998,-1.8724302876292138,-1.8329004998465952,-2.039639009327411,2.0,0.16720872169819723
0.5,6,0.12,-1.8724798054207423,-1.8329004998465952,-2.039639009327411,2.0,0.16715920390666872
0.5,7,0.14,-1.8724828177000898,-1.8329004998465952,-2.039639009327411,2.0,0.1671561916273212
0.5,8,0.16000000000000003,-1.872487232788106,-1.8329004998465952,-2.039639009327411,2.0,0.16715177653930513
0.5,9,0.18,-1.8724883344520213,-1.8329004998465952,-2.039639009327411,2.0,0.1671506748753897
0.5,10,0.2,-1.8724884539884852,-1.8329004998465952,-2.039639009327411,2.0,0.16715055533892587
0.5,11,0.21999999999999997,-1.872488529001487,-1.8329004998465952,-2.039639009327411,2.0,0.16715048032592406
0.5,12,0.24,-1.872488529601158,-1.8329004998465952,-2.039639009327411,2.0,0.16715047972625308
0.5,13,0.26,-1.872488529895597,-1.8329004998465952,-2.039639009327411,2.0,0.16715047943181394
0.5,14,0.28,-1.8724885299691796,-1.8329004998465952,-2.039639009327411,2.0,0.16715047935823146
0.5,15,0.3,-1.872488530001603,-1.8329004998465952,-2.039639009327411,2.0,0.16715047932580807
0.5,16,0.32,-1.8724885300159118,-1.8329004998465952,-2.039639009327411,2.0,0.1671504793114993
0.5,17,0.34,-1.872488530023645,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930376614
0.5,18,0.36,-1.8724885300243757,-1.8329004998465952,-2.039639009327411,2.0,0.1671504793030354
0.5,19,0.38,-1.8724885300247307,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930268034
0.5,20,0.4,-1.8724885300247365,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930267457
0.5,21,0.42,-1.8724885300247482,-1.8329004998465952,-2.039639009327411,2.0,0.1671504793026628
0.5,22,0.44,-1.8724885300247618,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930264926
0.5,23,0.46,-1.8724885300247622,-1.8329004998465952,-2.039639009327411,2.0,0.1671504793026488
0.5,24,0.48,-1.8724885300247625,-1.8329004998465952,-2.039639009327411,2.0,0.1671504793026486
0.5,25,0.5,-1.8724885300247647,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930264637
1.0,0,0.5,-2.0161469062522688,-1.8329004998465952,-2.039639009327411,2.0,0.023492103075142268
1.0,1,0.52,-2.0354684163771957,-1.8329004998465952,-2.039639009327411,2.0,0.004170592950215379
1.0,2,0.54,-2.0389411650071385,-1.8329004998465952,-2.039639009327411,2.0,0.0006978443202725337
1.0,3,0.56,-2.0393758435142226,-1.8329004998465952,-2.039639009327411,2.0,0.00026316581318841514
1.0,4,0.5800000000000001,-2.039515098700672,-1.8329004998465952,-2.039639009327411,2.0,0.00012391062673922093
1.0,5,0.6,-2.039523960737259,-1.8329004998465952,-2.039639009327411,2.0,0.00011504859015198932
1.0,6,0.62,-2.039526535633516,-1.8329004998465952,-2.039639009327411,2.0,0.00011247369389488782
1.0,7,0.64,-2.039526832274996,-1.8329004998465952,-2.039639009327411,2.0,0.00011217705241506337
1.0,8,0.66,-2.0395268894247933,-1.8329004998465952,-2.039639009327411,2.0,0.00011211990261772442
1.0,9,0.6799999999999999,-2.039526901684329,-1.8329004998465952,-2.039639009327411,2.0,0.00011210764308211552
1.0,10,0.7,-2.039526909007841,-1.8329004998465952,-2.039639009327411,2.0,0.00011210031957009647
1.0,11,0.72,-2.0395269222968047,-1.8329004998465952,-2.039639009327411,2.0,0.00011208703060638925
1.0,12,0.74,-2.0395269464781274,-1.8329004998465952,-2.039639009327411,2.0,0.00011206284928366728
1.0,13,0.76,-2.039526986963821,-1.8329004998465952,-2.039639009327411,2.0,0.0001120223635902029
1.0,14,0.78,-2.039527028885127,-1.8329004998465952,-2.039639009327411,2.0,0.00011198044228422077
1.0,15,0.8,-2.0395270329369977,-1.8329004998465952,-2.039639009327411,2.0,0.00011197639041338192
1.0,16,0.8200000000000001,-2.0395270342377203,-1.8329004998465952,-2.039639009327411,2.0,0.00011197508969074121
1.0,17,0.8400000000000001,-2.0395270343421643,-1.8329004998465952,-2.039639009327411,2.0,0.00011197498524673222
1.0,18,0.86,-2.0395270343467167,-1.8329004998465952,-2.039639009327411,2.0,0.00011197498069437373
1.0,19,0.88,-2.039527034346777,-1.8329004998465952,-2.039639009327411,2.0,0.0001119749806339776
1.0,20,0.9,-2.0395270343467913,-1.8329004998465952,-2.039639009327411,2.0,0.00011197498061976674
1.0,21,0.9199999999999999,-2.0395270343467917,-1.8329004998465952,-2.039639009327411,2.0,0.00011197498061932265
