t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.125,0,0.0,-1.7619813680130956,-1.7610750541360973,-1.9151065495118047,1.0,0.15312518149870913
0.125,1,0.00735294117647059,-1.7620248688897027,-1.7610750541360973,-1.9151065495118047,1.0,0.15308168062210203
0.125,2,0.01470588235294118,-1.762046140614072,-1.7610750541360973,-1.9151065495118047,1.0,0.15306040889773276
0.125,3,0.02205882352941177,-1.7620466996459918,-1.7610750541360973,-1.9151065495118047,1.0,0.1530598498658129
0.125,4,0.02941176470588236,-1.7620467009141463,-1.7610750541360973,-1.9151065495118047,1.0,0.15305984859765842
0.125,5,0.03676470588235295,-1.7620467009176188,-1.7610750541360973,-1.9151065495118047,1.0,0.15305984859418587
0.125,6,0.04411764705882354,-1.7620467009177023,-1.7610750541360973,-1.9151065495118047,1.0,0.15305984859410238
0.125,7,0.051470588235294115,-1.7620467009177039,-1.7610750541360973,-1.9151065495118047,1.0,0.15305984859410082
0.25,0,0.125,-1.765103505184037,-1.7610750541360973,-1.9151065495118047,1.0,0.1500030443277678
0.25,1,0.1323529411764706,-1.7651740307526465,-1.7610750541360973,-1.9151065495118047,1.0,0.14993251875915825
0.25,2,0.13970588235294118,-1.7651814957563843,-1.7610750541360973,-1.9151065495118047,1.0,0.14992505375542042
0.25,3,0.14705882352941177,-1.765194430159892,-1.7610750541360973,-1.9151065495118047,1.0,0.14991211935191262
0.25,4,0.15441176470588236,-1.7652094657460902,-1.7610750541360973,-1.9151065495118047,1.0,0.14989708376571453
0.25,5,0.16176470588235295,-1.7652120538412914,-1.7610750541360973,-1.9151065495118047,1.0,0.14989449567051327
0.25,6,0.16911764705882354,-1.7652122730361206,-1.7610750541360973,-1.9151065495118047,1.0,0.1498942764756841
0.25,7,0.1764705882352941,-1.765212658554874,-1.7610750541360973,-1.9151065495118047,1.0,0.14989389095693073
0.25,8,0.18382352941176472,-1.765213158892136,-1.7610750541360973,-1.9151065495118047,1.0,0.14989339061966866
0.25,9,0.19117647058823528,-1.765213203910911,-1.7610750541360973,-1.9151065495118047,1.0,0.14989334560089373
