t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.25,0,0.0,-1.8395552129640733,-1.8329004998465952,-2.039639009327411,2.0,0.20008379636333773
0.25,1,0.011904761904761918,-1.841213257555521,-1.8329004998465952,-2.039639009327411,2.0,0.19842575177189015
0.25,2,0.023809523809523808,-1.8412526579877049,-1.8329004998465952,-2.039639009327411,2.0,0.19838635133970617
0.25,3,0.0357142857142857,-1.8412552818591292,-1.8329004998465952,-2.039639009327411,2.0,0.1983837274682818
0.25,4,0.047619047619047616,-1.841255399463444,-1.8329004998465952,-2.039639009327411,2.0,0.19838360986396708
0.25,5,0.059523809523809534,-1.8412554245134771,-1.8329004998465952,-2.039639009327411,2.0,0.19838358481393392
0.25,6,0.07142857142857142,-1.8412554300352288,-1.8329004998465952,-2.039639009327411,2.0,0.1983835792921822
0.25,7,0.08333333333333331,-1.8412554336906994,-1.8329004998465952,-2.039639009327411,2.0,0.1983835756367116
0.25,8,0.09523809523809523,-1.8412554337735,-1.8329004998465952,-2.039639009327411,2.0,0.19838357555391095
0.25,9,0.10714285714285715,-1.8412554339155454,-1.8329004998465952,-2.039639009327411,2.0,0.1983835754118657
0.25,10,0.11904761904761904,-1.8412554340496394,-1.8329004998465952,-2.039639009327411,2.0,0.19838357527777162
0.25,11,0.13095238095238096,-1.8412554340581293,-1.8329004998465952,-2.039639009327411,2.0,0.19838357526928174
0.25,12,0.14285714285714285,-1.8412554340583285,-1.8329004998465952,-2.039639009327411,2.0,0.19838357526908257
0.25,13,0.15476190476190477,-1.8412554340585918,-1.8329004998465952,-2.039639009327411,2.0,0.19838357526881922
0.25,14,0.16666666666666666,-1.8412554340586305,-1.8329004998465952,-2.039639009327411,2.0,0.1983835752687806
0.25,15,0.17857142857142858,-1.8412554340586342,-1.8329004998465952,-2.039639009327411,2.0,0.1983835752687768
0.25,16,0.19047619047619047,-1.8412554340586342,-1.8329004998465952,-2.039639009327411,2.0,0.1983835752687768
0.5,0,0.25,-1.8639420264351891,-1.8329004998465952,-2.039639009327411,2.0,0.1756969828922219
0.5,1,0.2619047619047619,-1.8704164415773126,-1.8329004998465952,-2.039639009327411,2.0,0.16922256775009847
0.5,2,0.27380952380952384,-1.872156818637101,-1.8329004998465952,-2.039639009327411,2.0,0.16748219069031012
0.5,3,0.2857142857142857,-1.8723223335074564,-1.8329004998465952,-2.039639009327411,2.0,0.16731667581995469
0.5,4,0.2976190476190476,-1.8724736513563771,-1.8329004998465952,-2.039639009327411,2.0,0.16716535797103393
0.5,5,0.30952380952380953,-1.8724865808435827,-1.8329004998465952,-2.039639009327411,2.0,0.16715242848382839
0.5,6,0.3214285714285714,-1.872488390353187,-1.8329004998465952,-2.039639009327411,2.0,0.167150618974224
0.5,7,0.3333333333333333,-1.8724884706802596,-1.8329004998465952,-2.039639009327411,2.0,0.16715053864715146
0.5,8,0.34523809523809523,-1.8724885242162914,-1.8329004998465952,-2.039639009327411,2.0,0.16715048511111963
0.5,9,0.35714285714285715,-1.872488526344879,-1.8329004998465952,-2.039639009327411,2.0,0.1671504829825321
0.5,10,0.36904761904761907,-1.8724885291624043,-1.8329004998465952,-2.039639009327411,2.0,0.16715048016500678
0.5,11,0.38095238095238093,-1.8724885296904896,-1.8329004998465952,-2.039639009327411,2.0,0.16715047963692142
0.5,12,0.39285714285714285,-1.8724885298519187,-1.8329004998465952,-2.039639009327411,2.0,0.16715047947549233
0.5,13,0.40476190476190477,-1.8724885299938283,-1.8329004998465952,-2.039639009327411,2.0,0.16715047933358274
0.5,14,0.41666666666666663,-1.8724885300205654,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930684568
0.5,15,0.4285714285714286,-1.8724885300228873,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930452376
0.5,16,0.44047619047619047,-1.8724885300247205,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930269056
0.5,17,0.4523809523809524,-1.8724885300247498,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930266125
0.5,18,0.4642857142857143,-1.8724885300247616,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930264948
0.5,19,0.47619047619047616,-1.8724885300247618,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930264926
0.5,20,0.4880952380952381,-1.872488530024763,-1.8329004998465952,-2.039639009327411,2.0,0.16715047930264815
0.75,0,0.5,-1.9285973079319214,-1.8329004998465952,-2.039639009327411,2.0,0.11104170139548963
0.75,1,0.5119047619047619,-1.9350945006955704,-1.8329004998465952,-2.039639009327411,2.0,0.10454450863184062
0.75,2,0.5238095238095238,-1.9364917117412244,-1.8329004998465952,-2.039639009327411,2.0,0.10314729758618668
