t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.0625,0,0.0,-1.8332762262386035,-1.8329004998465952,-2.039639009327411,2.0,0.2063627830888075
0.0625,1,0.0028409090909090884,-1.8333597581829086,-1.8329004998465952,-2.039639009327411,2.0,0.2062792511445024
0.0625,2,0.005681818181818184,-1.8333615345815133,-1.8329004998465952,-2.039639009327411,2.0,0.20627747474589775
0.0625,3,0.008522727272727272,-1.8333616339493544,-1.8329004998465952,-2.039639009327411,2.0,0.20627737537805668
0.0625,4,0.011363636363636367,-1.8333616362349625,-1.8329004998465952,-2.039639009327411,2.0,0.20627737309244853
0.0625,5,0.014204545454545456,-1.8333616363473364,-1.8329004998465952,-2.039639009327411,2.0,0.20627737298007465
0.0625,6,0.017045454545454544,-1.833361636450254,-1.8329004998465952,-2.039639009327411,2.0,0.20627737287715697
0.0625,7,0.019886363636363633,-1.833361636458017,-1.8329004998465952,-2.039639009327411,2.0,0.20627737286939407
0.0625,8,0.022727272727272728,-1.8333616364585155,-1.8329004998465952,-2.039639009327411,2.0,0.20627737286889558
0.0625,9,0.025568181818181823,-1.8333616364585628,-1.8329004998465952,-2.039639009327411,2.0,0.20627737286884829
0.0625,10,0.02840909090909091,-1.833361636458634,-1.8329004998465952,-2.039639009327411,2.0,0.206277372868777
0.0625,11,0.03125,-1.83336163645865,-1.8329004998465952,-2.039639009327411,2.0,0.20627737286876102
0.0625,12,0.03409090909090909,-1.8333616364586534,-1.8329004998465952,-2.039639009327411,2.0,0.2062773728687577
0.0625,13,0.036931818181818184,-1.833361636458657,-1.8329004998465952,-2.039639009327411,2.0,0.20627737286875414
0.125,0,0.0625,-1.8347230155135033,-1.8329004998465952,-2.039639009327411,2.0,0.2049159938139078
0.125,1,0.06534090909090909,-1.8348195230004138,-1.8329004998465952,-2.039639009327411,2.0,0.2048194863269972
0.125,2,0.06818181818181818,-1.8348216093969139,-1.8329004998465952,-2.039639009327411,2.0,0.2048173999304972
0.125,3,0.07102272727272727,-1.834821734505565,-1.8329004998465952,-2.039639009327411,2.0,0.20481727482184597
0.125,4,0.07386363636363637,-1.8348217384167262,-1.8329004998465952,-2.039639009327411,2.0,0.2048172709106848
0.125,5,0.07670454545454546,-1.8348217392826824,-1.8329004998465952,-2.039639009327411,2.0,0.2048172700447286
0.125,6,0.07954545454545454,-1.8348217393504027,-1.8329004998465952,-2.039639009327411,2.0,0.20481726997700833
