t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.125,0,0.0,-1.8344541313861005,-1.8329004998465952,-2.039639009327411,2.0,0.20518487794131057
0.125,1,0.005681818181818177,-1.8348132886902535,-1.8329004998465952,-2.039639009327411,2.0,0.20482572063715754
0.125,2,0.011363636363636367,-1.8348212538550424,-1.8329004998465952,-2.039639009327411,2.0,0.2048177554723687
0.125,3,0.017045454545454544,-1.8348217232427777,-1.8329004998465952,-2.039639009327411,2.0,0.20481728608463334
0.125,4,0.022727272727272735,-1.8348217365933845,-1.8329004998465952,-2.039639009327411,2.0,0.2048172727340265
0.125,5,0.02840909090909091,-1.8348217387657446,-1.8329004998465952,-2.039639009327411,2.0,0.20481727056166643
0.125,6,0.03409090909090909,-1.834821739135947,-1.8329004998465952,-2.039639009327411,2.0,0.20481727019146412
0.125,7,0.039772727272727265,-1.834821739474404,-1.8329004998465952,-2.039639009327411,2.0,0.20481726985300708
0.125,8,0.045454545454545456,-1.834821739502977,-1.8329004998465952,-2.039639009327411,2.0,0.20481726982443416
0.125,9,0.051136363636363646,-1.834821739503361,-1.8329004998465952,-2.039639009327411,2.0,0.20481726982405002
0.125,10,0.05681818181818182,-1.834821739503916,-1.8329004998465952,-2.039639009327411,2.0,0.20481726982349513
0.125,11,0.0625,-1.834821739504039,-1.8329004998465952,-2.039639009327411,2.0,0.20481726982337212
0.125,12,0.06818181818181818,-1.8348217395040558,-1.8329004998465952,-2.039639009327411,2.0,0.20481726982335524
0.125,13,0.07386363636363637,-1.834821739504077,-1.8329004998465952,-2.039639009327411,2.0,0.20481726982333415
0.125,14,0.07954545454545454,-1.8348217395040782,-1.8329004998465952,-2.039639009327411,2.0,0.20481726982333281
0.25,0,0.125,-1.8407690733879738,-1.8329004998465952,-2.039639009327411,2.0,0.19886993593943725
0.25,1,0.13068181818181818,-1.8412438660348103,-1.8329004998465952,-2.039639009327411,2.0,0.19839514329260077
0.25,2,0.13636363636363635,-1.8412546410831199,-1.8329004998465952,-2.039639009327411,2.0,0.19838436824429118
0.25,3,0.14204545454545453,-1.8412553831615117,-1.8329004998465952,-2.039639009327411,2.0,0.19838362616589933
0.25,4,0.14772727272727273,-1.8412553980947135,-1.8329004998465952,-2.039639009327411,2.0,0.19838361123269754
0.25,5,0.1534090909090909,-1.8412554214659465,-1.8329004998465952,-2.039639009327411,2.0,0.1983835878614646
0.25,6,0.1590909090909091,-1.8412554301890547,-1.8329004998465952,-2.039639009327411,2.0,0.19838357913835636
0.25,7,0.16477272727272727,-1.841255433148342,-1.8329004998465952,-2.039639009327411,2.0,0.1983835761790691
0.25,8,0.17045454545454547,-1.841255433903727,-1.8329004998465952,-2.039639009327411,2.0,0.198383575423684
0.25,9,0.17613636363636365,-1.841255433983407,-1.8329004998465952,-2.039639009327411,2.0,0.19838357534400397
0.25,10,0.18181818181818182,-1.841255434054026,-1.8329004998465952,-2.039639009327411,2.0,0.19838357527338513
0.25,11,0.1875,-1.8412554340580478,-1.8329004998465952,-2.039639009327411,2.0,0.19838357526936323
0.25,12,0.19318181818181818,-1.8412554340584457,-1.8329004998465952,-2.039639009327411,2.0,0.19838357526896533
0.25,13,0.19886363636363635,-1.8412554340586103,-1.8329004998465952,-2.039639009327411,2.0,0.1983835752688008
0.25,14,0.20454545454545453,-1.84125543405863,-1.8329004998465952,-2.039639009327411,2.0,0.19838357526878103
0.25,15,0.2102272727272727,-1.8412554340586345,-1.8329004998465952,-2.039639009327411,2.0,0.1983835752687766
0.25,16,0.2159090909090909,-1.8412554340586345,-1.8329004998465952,-2.039639009327411,2.0,0.1983835752687766
0.375,0,0.25,-1.8509245891153487,-1.8329004998465952,-2.039639009327411,2.0,0.1887144202120623
0.375,1,0.2556818181818182,-1.851978335109133,-1.8329004998465952,-2.039639009327411,2.0,0.18766067421827803
0.375,2,0.26136363636363635,-1.8532420564160192,-1.8329004998465952,-2.039639009327411,2.0,0.1863969529113918
0.375,3,0.26704545454545453,-1.8532659364631316,-1.8329004998465952,-2.039639009327411,2.0,0.1863730728642794
0.375,4,0.2727272727272727,-1.8533081190616785,-1.8329004998465952,-2.039639009327411,2.0,0.18633089026573257
0.375,5,0.27840909090909094,-1.853361003682914,-1.8329004998465952,-2.039639009327411,2.0,0.18627800564449704
0.375,6,0.28409090909090906,-1.8533678572626107,-1.8329004998465952,-2.039639009327411,2.0,0.18627115206480038
0.375,7,0.2897727272727273,-1.8533683501475997,-1.8329004998465952,-2.039639009327411,2.0,0.18627065917981134
0.375,8,0.29545454545454547,-1.8533690010994854,-1.8329004998465952,-2.039639009327411,2.0,0.1862700082279256
0.375,9,0.30113636363636365,-1.8533690736318291,-1.8329004998465952,-2.039639009327411,2.0,0.18626993569558192
0.375,10,0.3068181818181818,-1.8533691006209658,-1.8329004998465952,-2.039639009327411,2.0,0.18626990870644522
0.375,11,0.3125,-1.853369106051296,-1.8329004998465952,-2.039639009327411,2.0,0.18626990327611503
