t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.1,0,0.0,-1.761649896604098,-1.7610750541360973,-1.9151065495118047,1.0,0.1534566529077066
0.1,1,0.0058823529411764774,-1.7616766151032062,-1.7610750541360973,-1.9151065495118047,1.0,0.15342993440859853
0.1,2,0.011764705882352941,-1.7616893392564679,-1.7610750541360973,-1.9151065495118047,1.0,0.15341721025533683
0.1,3,0.01764705882352942,-1.7616896425690893,-1.7610750541360973,-1.9151065495118047,1.0,0.15341690694271537
0.1,4,0.023529411764705882,-1.7616896432646016,-1.7610750541360973,-1.9151065495118047,1.0,0.15341690624720306
0.1,5,0.02941176470588236,-1.761689643265705,-1.7610750541360973,-1.9151065495118047,1.0,0.15341690624609972
0.1,6,0.03529411764705884,-1.7616896432657316,-1.7610750541360973,-1.9151065495118047,1.0,0.15341690624607307
0.1,7,0.041176470588235294,-1.7616896432657327,-1.7610750541360973,-1.9151065495118047,1.0,0.15341690624607196
0.2,0,0.1,-1.7635960318083246,-1.7610750541360973,-1.9151065495118047,1.0,0.15151051770348012
0.2,1,0.10588235294117648,-1.7636349740770307,-1.7610750541360973,-1.9151065495118047,1.0,0.15147157543477396
0.2,2,0.11176470588235295,-1.763654972679237,-1.7610750541360973,-1.9151065495118047,1.0,0.1514515768325677
0.2,3,0.11764705882352942,-1.7636556440612443,-1.7610750541360973,-1.9151065495118047,1.0,0.1514509054505604
0.2,4,0.12352941176470589,-1.763655645513572,-1.7610750541360973,-1.9151065495118047,1.0,0.1514509039982328
0.2,5,0.12941176470588237,-1.7636556455144392,-1.7610750541360973,-1.9151065495118047,1.0,0.1514509039973655
0.2,6,0.13529411764705884,-1.7636556455147987,-1.7610750541360973,-1.9151065495118047,1.0,0.151450903997006
0.2,7,0.1411764705882353,-1.7636556455148524,-1.7610750541360973,-1.9151065495118047,1.0,0.15145090399695227
0.2,8,0.14705882352941177,-1.7636556455148527,-1.7610750541360973,-1.9151065495118047,1.0,0.15145090399695205
0.3,0,0.19999999999999998,-1.7671056882380198,-1.7610750541360973,-1.9151065495118047,1.0,0.14800086127378487
0.3,1,0.20588235294117646,-1.7671650717063867,-1.7610750541360973,-1.9151065495118047,1.0,0.147941477805418
0.3,2,0.2117647058823529,-1.7671727257765368,-1.7610750541360973,-1.9151065495118047,1.0,0.14793382373526787
0.3,3,0.21764705882352942,-1.7671853982704802,-1.7610750541360973,-1.9151065495118047,1.0,0.14792115124132454
0.3,4,0.22352941176470587,-1.7671963898053122,-1.7610750541360973,-1.9151065495118047,1.0,0.14791015970649246
0.3,5,0.22941176470588234,-1.7671980785925547,-1.7610750541360973,-1.9151065495118047,1.0,0.14790847091924997
0.3,6,0.23529411764705882,-1.7671985507025436,-1.7610750541360973,-1.9151065495118047,1.0,0.1479079988092611
0.3,7,0.24117647058823527,-1.767198679147856,-1.7610750541360973,-1.9151065495118047,1.0,0.1479078703639487
0.3,8,0.24705882352941175,-1.76719873290503,-1.7610750541360973,-1.9151065495118047,1.0,0.14790781660677466
0.3,9,0.2529411764705882,-1.7671987336070307,-1.7610750541360973,-1.9151065495118047,1.0,0.14790781590477398
0.3,10,0.2588235294117647,-1.7671987336159225,-1.7610750541360973,-1.9151065495118047,1.0,0.1479078158958822
0.3,11,0.2647058823529412,-1.7671987336159538,-1.7610750541360973,-1.9151065495118047,1.0,0.1479078158958509
0.3,12,0.27058823529411763,-1.7671987336159545,-1.7610750541360973,-1.9151065495118047,1.0,0.14790781589585023
0.3,13,0.2764705882352941,-1.7671987336159547,-1.7610750541360973,-1.9151065495118047,1.0,0.14790781589585
0.4,0,0.30000000000000004,-1.7724754477691718,-1.7610750541360973,-1.9151065495118047,1.0,0.14263110174263294
