t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
1.0,0,0.0,-1.9688293604147176,-1.680977134051285,-2.034319983542531,4.0,0.0654906231278134
1.0,1,0.0714285714285714,-1.9931011333542323,-1.680977134051285,-2.034319983542531,4.0,0.04121885018829863
1.0,2,0.1428571428571428,-2.027590207655368,-1.680977134051285,-2.034319983542531,4.0,0.006729775887162948
1.0,3,0.2142857142857143,-2.0342609250702446,-1.680977134051285,-2.034319983542531,4.0,5.9058472286377395e-05
1.0,4,0.2857142857142857,-2.03431739211531,-1.680977134051285,-2.034319983542531,4.0,2.591427220810516e-06
1.0,5,0.3571428571428572,-2.0343194343444826,-1.680977134051285,-2.034319983542531,4.0,5.491980483718351e-07
1.0,6,0.4285714285714286,-2.034319589866514,-1.680977134051285,-2.034319983542531,4.0,3.936760171185938e-07
1.0,7,0.5,-2.034319623318849,-1.680977134051285,-2.034319983542531,4.0,3.6022368199439825e-07
1.0,8,0.5714285714285714,-2.0343196307546085,-1.680977134051285,-2.034319983542531,4.0,3.5278792243076396e-07
1.0,9,0.6428571428571429,-2.034319631691018,-1.680977134051285,-2.034319983542531,4.0,3.5185151281424965e-07
1.0,10,0.7142857142857143,-2.034319631720755,-1.680977134051285,-2.034319983542531,4.0,3.518217761566689e-07
1.0,11,0.7857142857142857,-2.0343196317213295,-1.680977134051285,-2.034319983542531,4.0,3.5182120150523133e-07
1.0,12,0.8571428571428571,-2.034319631721473,-1.680977134051285,-2.034319983542531,4.0,3.5182105806441655e-07
1.0,13,0.9285714285714286,-2.0343196317214782,-1.680977134051285,-2.034319983542531,4.0,3.5182105273534603e-07
1.0,14,1.0,-2.0343196317214787,-1.680977134051285,-2.034319983542531,4.0,3.518210522912568e-07
