t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.2,0,0.0,-1.6892550891610894,-1.680977134051285,-2.034319983542531,4.0,0.3450648943814416
0.2,1,0.009090909090909094,-1.6990657979309316,-1.680977134051285,-2.034319983542531,4.0,0.33525418561159936
0.2,2,0.018181818181818188,-1.6994309687442068,-1.680977134051285,-2.034319983542531,4.0,0.3348890147983241
0.2,3,0.027272727272727282,-1.6994321411266335,-1.680977134051285,-2.034319983542531,4.0,0.3348878424158974
0.2,4,0.036363636363636376,-1.6994342265669047,-1.680977134051285,-2.034319983542531,4.0,0.3348857569756263
0.2,5,0.04545454545454547,-1.6994368712396801,-1.680977134051285,-2.034319983542531,4.0,0.33488311230285084
0.2,6,0.054545454545454536,-1.6994369520952084,-1.680977134051285,-2.034319983542531,4.0,0.33488303144732257
0.2,7,0.06363636363636363,-1.6994370757763702,-1.680977134051285,-2.034319983542531,4.0,0.3348829077661608
0.2,8,0.07272727272727272,-1.699437125392095,-1.680977134051285,-2.034319983542531,4.0,0.33488285815043595
0.2,9,0.08181818181818185,-1.6994371256253806,-1.680977134051285,-2.034319983542531,4.0,0.33488285791715033
0.2,10,0.09090909090909093,-1.6994371257922427,-1.680977134051285,-2.034319983542531,4.0,0.33488285775028825
0.2,11,0.1,-1.6994371258205339,-1.680977134051285,-2.034319983542531,4.0,0.3348828577219971
0.2,12,0.10909090909090909,-1.6994371258232799,-1.680977134051285,-2.034319983542531,4.0,0.3348828577192511
0.2,13,0.1181818181818182,-1.6994371258237508,-1.680977134051285,-2.034319983542531,4.0,0.3348828577187801
0.2,14,0.12727272727272726,-1.6994371258245755,-1.680977134051285,-2.034319983542531,4.0,0.33488285771795545
0.2,15,0.13636363636363635,-1.699437125825806,-1.680977134051285,-2.034319983542531,4.0,0.3348828577167249
0.2,16,0.14545454545454548,-1.6994371258263175,-1.680977134051285,-2.034319983542531,4.0,0.3348828577162135
0.2,17,0.15454545454545454,-1.6994371258263712,-1.680977134051285,-2.034319983542531,4.0,0.3348828577161598
0.2,18,0.16363636363636366,-1.6994371258263892,-1.680977134051285,-2.034319983542531,4.0,0.3348828577161418
0.2,19,0.17272727272727273,-1.6994371258263907,-1.680977134051285,-2.034319983542531,4.0,0.33488285771614024
0.2,20,0.18181818181818182,-1.699437125826391,-1.680977134051285,-2.034319983542531,4.0,0.33488285771614
0.4,0,0.2,-1.747043513709907,-1.680977134051285,-2.034319983542531,4.0,0.287276469832624
0.4,1,0.2090909090909091,-1.7548854124922726,-1.680977134051285,-2.034319983542531,4.0,0.2794345710502584
0.4,2,0.2181818181818182,-1.7552345722296414,-1.680977134051285,-2.034319983542531,4.0,0.27908541131288955
0.4,3,0.2272727272727273,-1.7552353932032607,-1.680977134051285,-2.034319983542531,4.0,0.27908459033927024
0.4,4,0.2363636363636364,-1.7552357635915181,-1.680977134051285,-2.034319983542531,4.0,0.27908421995101285
0.4,5,0.24545454545454548,-1.7552357687927742,-1.680977134051285,-2.034319983542531,4.0,0.27908421474975675
0.4,6,0.2545454545454545,-1.7552357691862046,-1.680977134051285,-2.034319983542531,4.0,0.27908421435632635
0.4,7,0.26363636363636367,-1.755235769205993,-1.680977134051285,-2.034319983542531,4.0,0.27908421433653796
0.4,8,0.2727272727272727,-1.7552357692122886,-1.680977134051285,-2.034319983542531,4.0,0.27908421433024233
0.4,9,0.28181818181818186,-1.7552357692240386,-1.680977134051285,-2.034319983542531,4.0,0.2790842143184924
0.4,10,0.29090909090909095,-1.7552357692461467,-1.680977134051285,-2.034319983542531,4.0,0.2790842142963843
0.4,11,0.30000000000000004,-1.7552357692846332,-1.680977134051285,-2.034319983542531,4.0,0.27908421425789776
0.4,12,0.3090909090909091,-1.7552357693287444,-1.680977134051285,-2.034319983542531,4.0,0.2790842142137866
0.4,13,0.31818181818181823,-1.7552357693299592,-1.680977134051285,-2.034319983542531,4.0,0.2790842142125718
0.4,14,0.32727272727272727,-1.7552357693300558,-1.680977134051285,-2.034319983542531,4.0,0.2790842142124752
0.4,15,0.33636363636363636,-1.7552357693300915,-1.680977134051285,-2.034319983542531,4.0,0.27908421421243945
0.4,16,0.34545454545454546,-1.7552357693300933,-1.680977134051285,-2.034319983542531,4.0,0.2790842142124377
0.4,17,0.35454545454545455,-1.7552357693300966,-1.680977134051285,-2.034319983542531,4.0,0.27908421421243435
0.6,0,0.39999999999999997,-1.8300600629942103,-1.680977134051285,-2.034319983542531,4.0,0.20425992054832065
0.6,1,0.40909090909090906,-1.8352689704546818,-1.680977134051285,-2.034319983542531,4.0,0.19905101308784912
0.6,2,0.41818181818181815,-1.8357158403038343,-1.680977134051285,-2.034319983542531,4.0,0.19860414323869668
0.6,3,0.42727272727272725,-1.83571856295352,-1.680977134051285,-2.034319983542531,4.0,0.19860142058901098
0.6,4,0.43636363636363634,-1.8357185951441084,-1.680977134051285,-2.034319983542531,4.0,0.19860138839842256
0.6,5,0.44545454545454544,-1.835718599410815,-1.680977134051285,-2.034319983542531,4.0,0.19860138413171602
0.6,6,0.4545454545454545,-1.835718599540953,-1.680977134051285,-2.034319983542531,4.0,0.1986013840015779
0.6,7,0.4636363636363636,-1.8357185996081542,-1.680977134051285,-2.034319983542531,4.0,0.19860138393437676
0.6,8,0.47272727272727266,-1.835718599643199,-1.680977134051285,-2.034319983542531,4.0,0.1986013838993319
0.6,9,0.4818181818181818,-1.8357185996561876,-1.680977134051285,-2.034319983542531,4.0,0.1986013838863434
0.6,10,0.4909090909090909,-1.8357185996570138,-1.680977134051285,-2.034319983542531,4.0,0.19860138388551718
0.6,11,0.5,-1.8357185996585894,-1.680977134051285,-2.034319983542531,4.0,0.19860138388394155
0.6,12,0.509090909090909,-1.835718599661606,-1.680977134051285,-2.034319983542531,4.0,0.19860138388092485
0.6,13,0.5181818181818182,-1.8357185996672882,-1.680977134051285,-2.034319983542531,4.0,0.19860138387524273
0.6,14,0.5272727272727272,-1.835718599677497,-1.680977134051285,-2.034319983542531,4.0,0.198601383865034
0.6,15,0.5363636363636364,-1.835718599693391,-1.680977134051285,-2.034319983542531,4.0,0.19860138384914006
0.6,16,0.5454545454545454,-1.8357185997042254,-1.680977134051285,-2.034319983542531,4.0,0.1986013838383056
0.6,17,0.5545454545454546,-1.8357185997072716,-1.680977134051285,-2.034319983542531,4.0,0.19860138383525938
0.6,18,0.5636363636363636,-1.8357185997094159,-1.680977134051285,-2.034319983542531,4.0,0.1986013838331151
0.6,19,0.5727272727272728,-1.8357185997095518,-1.680977134051285,-2.034319983542531,4.0,0.1986013838329792
0.6,20,0.5818181818181818,-1.8357185997095742,-1.680977134051285,-2.034319983542531,4.0,0.19860138383295678
0.6,21,0.5909090909090909,-1.8357185997095755,-1.680977134051285,-2.034319983542531,4.0,0.19860138383295545
0.8,0,0.6000000000000001,-1.9290172166676343,-1.680977134051285,-2.034319983542531,4.0,0.1053027668748967
0.8,1,0.6090909090909091,-1.929898095044028,-1.680977134051285,-2.034319983542531,4.0,0.10442188849850287
0.8,2,0.6181818181818182,-1.9300302708814663,-1.680977134051285,-2.034319983542531,4.0,0.10428971266106468
0.8,3,0.6272727272727273,-1.930030281091466,-1.680977134051285,-2.034319983542531,4.0,0.10428970245106495
0.8,4,0.6363636363636365,-1.93003028221598,-1.680977134051285,-2.034319983542531,4.0,0.10428970132655091
0.8,5,0.6454545454545455,-1.9300302822509199,-1.680977134051285,-2.034319983542531,4.0,0.10428970129161108
0.8,6,0.6545454545454545,-1.9300302822595337,-1.680977134051285,-2.034319983542531,4.0,0.1042897012829973
0.8,7,0.6636363636363637,-1.9300302822635924,-1.680977134051285,-2.034319983542531,4.0,0.10428970127893855
0.8,8,0.6727272727272727,-1.9300302822636328,-1.680977134051285,-2.034319983542531,4.0,0.10428970127889814
0.8,9,0.6818181818181819,-1.9300302822636606,-1.680977134051285,-2.034319983542531,4.0,0.10428970127887038
0.8,10,0.6909090909090909,-1.9300302822637085,-1.680977134051285,-2.034319983542531,4.0,0.10428970127882242
0.8,11,0.7000000000000001,-1.9300302822638022,-1.680977134051285,-2.034319983542531,4.0,0.10428970127872872
0.8,12,0.7090909090909091,-1.930030282263979,-1.680977134051285,-2.034319983542531,4.0,0.10428970127855197
0.8,13,0.7181818181818183,-1.9300302822643094,-1.680977134051285,-2.034319983542531,4.0,0.10428970127822157
0.8,14,0.7272727272727273,-1.9300302822649125,-1.680977134051285,-2.034319983542531,4.0,0.1042897012776185
0.8,15,0.7363636363636364,-1.9300302822659412,-1.680977134051285,-2.034319983542531,4.0,0.10428970127658976
0.8,16,0.7454545454545455,-1.9300302822674222,-1.680977134051285,-2.034319983542531,4.0,0.10428970127510873
0.8,17,0.7545454545454546,-1.93003028226848,-1.680977134051285,-2.034319983542531,4.0,0.1042897012740509
