t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
1.0,0,0.0,-1.8440658783387869,-1.7610750541360973,-1.9151065495118047,1.0,0.07104067117301782
1.0,1,0.06666666666666665,-1.8607418039467147,-1.7610750541360973,-1.9151065495118047,1.0,0.05436474556508997
1.0,2,0.1333333333333333,-1.8820335919464763,-1.7610750541360973,-1.9151065495118047,1.0,0.033072957565328354
1.0,3,0.19999999999999996,-1.9089869959523629,-1.7610750541360973,-1.9151065495118047,1.0,0.006119553559441826
1.0,4,0.2666666666666666,-1.9121690405632576,-1.7610750541360973,-1.9151065495118047,1.0,0.002937508948547052
1.0,5,0.33333333333333326,-1.9131678057716688,-1.7610750541360973,-1.9151065495118047,1.0,0.0019387437401359175
1.0,6,0.4,-1.9139899557673024,-1.7610750541360973,-1.9151065495118047,1.0,0.0011165937445023477
1.0,7,0.4666666666666667,-1.91400969737752,-1.7610750541360973,-1.9151065495118047,1.0,0.001096852134284676
1.0,8,0.5333333333333333,-1.9140168804180222,-1.7610750541360973,-1.9151065495118047,1.0,0.001089669093782497
1.0,9,0.6,-1.9140169816503627,-1.7610750541360973,-1.9151065495118047,1.0,0.0010895678614419868
1.0,10,0.6666666666666666,-1.9140170037506026,-1.7610750541360973,-1.9151065495118047,1.0,0.0010895457612021264
1.0,11,0.7333333333333333,-1.9140170051090868,-1.7610750541360973,-1.9151065495118047,1.0,0.0010895444027179124
1.0,12,0.8,-1.9140170051688608,-1.7610750541360973,-1.9151065495118047,1.0,0.0010895443429439489
1.0,13,0.8666666666666667,-1.914017005169566,-1.7610750541360973,-1.9151065495118047,1.0,0.0010895443422387352
1.0,14,0.9333333333333333,-1.9140170051696117,-1.7610750541360973,-1.9151065495118047,1.0,0.001089544342192994
1.0,15,1.0,-1.9140170051696124,-1.7610750541360973,-1.9151065495118047,1.0,0.0010895443421923279
