t,epoch,etime,energy,HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.16666666666666666,0,0.0,-1.8357253948509165,-1.8329004998465952,-2.039639009327411,2.0,0.2039136144764946
0.16666666666666666,1,0.007936507936507936,-1.8363953596366343,-1.8329004998465952,-2.039639009327411,2.0,0.2032436496907768
0.16666666666666666,2,0.015873015873015872,-1.8364105980387504,-1.8329004998465952,-2.039639009327411,2.0,0.20322841128866065
0.16666666666666666,3,0.023809523809523808,-1.8364115314684413,-1.8329004998465952,-2.039639009327411,2.0,0.20322747785896977
0.16666666666666666,4,0.031746031746031744,-1.8364115625823265,-1.8329004998465952,-2.039639009327411,2.0,0.20322744674508453
0.16666666666666666,5,0.03968253968253968,-1.836411569088402,-1.8329004998465952,-2.039639009327411,2.0,0.20322744023900907
0.16666666666666666,6,0.047619047619047616,-1.836411569856037,-1.8329004998465952,-2.039639009327411,2.0,0.203227439471374
0.16666666666666666,7,0.05555555555555554,-1.8364115708292854,-1.8329004998465952,-2.039639009327411,2.0,0.20322743849812563
0.16666666666666666,8,0.06349206349206349,-1.8364115708920312,-1.8329004998465952,-2.039639009327411,2.0,0.20322743843537983
0.16666666666666666,9,0.07142857142857142,-1.8364115709515962,-1.8329004998465952,-2.039639009327411,2.0,0.2032274383758148
0.16666666666666666,10,0.07936507936507936,-1.83641157095384,-1.8329004998465952,-2.039639009327411,2.0,0.20322743837357105
0.16666666666666666,11,0.0873015873015873,-1.8364115709539928,-1.8329004998465952,-2.039639009327411,2.0,0.20322743837341828
0.16666666666666666,12,0.09523809523809523,-1.8364115709540048,-1.8329004998465952,-2.039639009327411,2.0,0.2032274383734063
0.16666666666666666,13,0.10317460317460317,-1.836411570954007,-1.8329004998465952,-2.039639009327411,2.0,0.20322743837340407
0.16666666666666666,14,0.1111111111111111,-1.8364115709540123,-1.8329004998465952,-2.039639009327411,2.0,0.20322743837339874
0.3333333333333333,0,0.16666666666666666,-1.847636901556479,-1.8329004998465952,-2.039639009327411,2.0,0.19200210777093196
0.3333333333333333,1,0.1746031746031746,-1.848596061517117,-1.8329004998465952,-2.039639009327411,2.0,0.19104294781029396
0.3333333333333333,2,0.18253968253968253,-1.8486183625116472,-1.8329004998465952,-2.039639009327411,2.0,0.1910206468157638
0.3333333333333333,3,0.19047619047619047,-1.848620041457215,-1.8329004998465952,-2.039639009327411,2.0,0.19101896787019612
0.3333333333333333,4,0.1984126984126984,-1.8486200949513434,-1.8329004998465952,-2.039639009327411,2.0,0.19101891437606766
0.3333333333333333,5,0.20634920634920634,-1.8486201641347326,-1.8329004998465952,-2.039639009327411,2.0,0.19101884519267842
0.3333333333333333,6,0.21428571428571427,-1.8486201683852057,-1.8329004998465952,-2.039639009327411,2.0,0.19101884094220534
0.3333333333333333,7,0.2222222222222222,-1.8486201750161557,-1.8329004998465952,-2.039639009327411,2.0,0.19101883431125533
0.3333333333333333,8,0.23015873015873015,-1.8486201776486506,-1.8329004998465952,-2.039639009327411,2.0,0.19101883167876044
0.3333333333333333,9,0.23809523809523808,-1.848620177898156,-1.8329004998465952,-2.039639009327411,2.0,0.19101883142925513
0.3333333333333333,10,0.24603174603174602,-1.8486201781718739,-1.8329004998465952,-2.039639009327411,2.0,0.1910188311555372
